Date,Workout Name,Duration,Exercise Name,Set Order,Weight,Reps,Distance,Seconds,Notes,Workout Notes,RPE
2023-09-12 17:08:26,"Push",1h 40m,"Lateral Raise (Cable)",3,5.0,6.0,0,0.0,,,
2023-09-13 16:55:25,"Pull",1h 36m,"Pull Up",1,0,4.0,0,0.0,"","",
2023-09-13 16:55:25,"Pull",1h 36m,"Pull Up",2,0,5.0,0,0.0,,,
2023-09-13 16:55:25,"Pull",1h 36m,"Pull Up",3,0,4.0,0,0.0,,,
2023-09-13 16:55:25,"Pull",1h 36m,"Lat Pulldown (Cable)",1,5.0,10.0,0,0.0,"",,
2023-09-13 16:55:25,"Pull",1h 36m,"Lat Pulldown (Cable)",2,6.0,10.0,0,0.0,,,
2023-09-13 16:55:25,"Pull",1h 36m,"Lat Pulldown (Cable)",3,7.0,8.0,0,0.0,,,
2023-09-13 16:55:25,"Pull",1h 36m,"Seated Row (Cable)",1,55.0,10.0,0,0.0,"",,
2023-09-13 16:55:25,"Pull",1h 36m,"Seated Row (Cable)",2,70.0,10.0,0,0.0,,,
2023-09-13 16:55:25,"Pull",1h 36m,"Seated Row (Cable)",3,75.0,8.0,0,0.0,,,
2023-09-13 16:55:25,"Pull",1h 36m,"Face Pull (Cable)",1,25.0,10.0,0,0.0,"go up in weight",,
2023-09-13 16:55:25,"Pull",1h 36m,"Face Pull (Cable)",2,40.0,10.0,0,0.0,,,
2023-09-13 16:55:25,"Pull",1h 36m,"Face Pull (Cable)",3,45.0,12.0,0,0.0,,,
2023-09-13 16:55:25,"Pull",1h 36m,"Bicep Curl (Barbell)",1,5.0,10.0,0,0.0,"",,
2023-09-13 16:55:25,"Pull",1h 36m,"Bicep Curl (Barbell)",2,6.25,10.0,0,0.0,,,
2023-09-13 16:55:25,"Pull",1h 36m,"Bicep Curl (Barbell)",3,7.25,6.0,0,0.0,,,
2023-09-13 16:55:25,"Pull",1h 36m,"Incline Curl (Dumbbell)",1,5.0,10.0,0,0.0,"",,
2023-09-13 16:55:25,"Pull",1h 36m,"Incline Curl (Dumbbell)",2,7.5,7.0,0,0.0,,,
2023-09-13 16:55:25,"Pull",1h 36m,"Incline Curl (Dumbbell)",3,7.5,8.0,0,0.0,,,
2023-09-13 16:55:25,"Pull",1h 36m,"Seated Palms Up Wrist Curl (Dumbbell)",1,7.5,10.0,0,0.0,"",,
2023-09-13 16:55:25,"Pull",1h 36m,"Seated Palms Up Wrist Curl (Dumbbell)",2,12.5,10.0,0,0.0,,,
2023-09-13 16:55:25,"Pull",1h 36m,"Seated Palms Up Wrist Curl (Dumbbell)",3,12.5,10.0,0,0.0,,,
